k,silhouette_score,inertia,num_clusters
2,0.10840544099904527,65.0909090909091,2
3,0.08647180190839855,55.89999999999999,3
4,0.04604549852118264,46.8,4
5,0.05206033030245703,38.166666666666664,5
6,0.030689812495251698,31.499999999999993,6
7,0.050136873989952556,22.5,7
8,0.020549513673756816,17.200000000000003,8
9,0.009006273606884252,12.25,9
10,0.011800817710284702,7.333333333333333,10
